Date,Close,Volume,Open,High,Low,MA,RSI,Upper,Lower,EMA12,EMA26,MACD,Combined_Indicator,Signal,Actual_Position
2020-03-19,61.195,271857040,61.8462,63.21,60.6525,61.70035714285715,29.392492225677486,70.57645047803982,52.824263807674484,61.58794547867521,64.98847712327186,-3.4005316445966542,-1.0060679530990673,S,L
2020-03-18,61.6675,300233640,59.9425,62.5,59.28,61.472500000000004,30.933303238912075,69.62850898918808,53.31649101081193,61.600184635802094,64.74247881784432,-3.142294182042221,-0.9521185331977715,S,L
2020-03-17,63.215,324055880,61.8775,64.4025,59.6,61.300892857142856,31.58783783783784,68.63070302109743,53.97108269318828,61.84861776875562,64.62933223874474,-2.780714469989121,-0.9155542516493542,S,S
2020-03-16,60.5525,322423480,60.4875,64.77,60.0,61.315178571428575,33.487377967766164,67.48262756105244,55.14772958180471,61.64921503510091,64.32734466550438,-2.6781296304034754,-0.8583683340759649,S,L
2020-03-13,69.4925,370732120,66.2225,69.98,63.2375,61.90517857142857,37.96876972936571,68.32213133961115,55.48822580324599,62.855874260469996,64.70994876435591,-1.8540745038859185,-0.677478118373223,S,S
2020-03-12,62.0575,418474000,63.985,67.5,62.0,62.03589285714286,34.25999772131708,68.11346990964383,55.9583158046419,62.73304745116692,64.51347107810733,-1.7804236269404115,-0.7732287941298633,S,L
2020-03-11,68.8575,256379880,69.3475,70.305,67.965,62.41339285714286,35.7552844131294,68.90361616751977,55.92316954676594,63.67527092021816,64.83525099824753,-1.1599800780293705,-0.6891757092579526,S,L
2020-03-10,71.335,285290080,69.285,71.61,67.3425,62.95857142857143,36.61899073386497,70.50790522630565,55.40923763083721,64.85369077864614,65.31671388726623,-0.4630231086200922,-0.6148236361046746,S,S
2020-03-09,66.5425,286744840,65.9375,69.5225,65.75,63.28767857142857,35.24220861945747,70.92040244199725,55.65495470085989,65.11350758193134,65.40751285857985,-0.2940052766485053,-0.6377619078745492,S,L
2020-03-06,72.2575,226177000,70.5,72.705,70.3075,63.833928571428565,36.27906976744186,72.44047838752677,55.22737875533036,66.2125833385573,65.91491931349987,0.29766402505742917,-0.5651074740000456,S,L
2020-03-05,73.23,187572880,73.88,74.8875,72.8525,64.68035714285715,37.96662854461746,74.25481225653445,55.105902029179845,67.29218590185617,66.45677714212951,0.8354087597266613,-0.4738076661795727,S,L
2020-03-04,75.685,219178280,74.11,75.85,73.2825,65.67785714285715,38.5354678289051,76.38271912235676,54.97299516335754,68.58338807080138,67.14034920567548,1.4430388651258994,-0.4067043656326848,S,S
2020-03-03,72.33,319475400,75.9175,76.0,71.45,66.83767857142857,39.5396170163972,78.03281123972073,55.64254590313641,69.1597899060627,67.52476778303286,1.6350221230298416,-0.35128163736291995,S,L
2020-03-02,74.7025,341397360,70.57,75.36,69.43,68.08,39.80953976764969,80.00999738331592,56.15000261668407,70.01251453589921,68.05645165095635,1.9560628849428667,-0.3067882838659425,S,S
2020-02-28,68.34,426884800,64.315,69.6025,64.0925,68.59035714285714,36.03631720811463,80.42605576087082,56.754658524843464,69.75520460729933,68.07745523236699,1.6777493749323469,-0.4201516495807955,S,L
2020-02-27,68.38,320605520,70.275,71.5,68.24,69.06982142857143,35.89787672999228,80.92375429526295,57.21588856187991,69.54363466771483,68.09986595589535,1.443768711819473,-0.4315465760792803,S,L
2020-02-26,73.1625,198713720,71.6325,74.47,71.625,69.78035714285714,36.871448768906546,81.77151424650418,57.78920003921011,70.10038318037408,68.47487588508828,1.6255072952858,-0.38407325527951974,S,S
2020-02-25,72.02,230673440,75.2375,75.6325,71.5325,70.59946428571429,37.47932427668863,82.53738291987841,58.66154565155017,70.39570884493192,68.73747767137804,1.6582311735538724,-0.3543556358026096,S,L
2020-02-24,74.545,222195320,74.315,76.045,72.3075,70.96035714285713,35.45531861278231,82.03259393430636,59.888120351407906,71.034061330327,69.16766451053523,1.866396819791774,-0.3932518922237709,S,L
2020-02-21,78.2625,129705680,79.655,80.1125,77.625,72.11785714285715,40.13922575361452,82.75053658434292,61.48517770137137,72.146128817969,69.84135602827335,2.3047727896956474,-0.2231502197007781,S,L
2020-02-20,80.075,100565960,80.6575,81.1625,79.5525,72.91910714285714,38.72176387938178,83.83638203418244,62.00183225153186,73.36595515366608,70.59940372988274,2.7665514237833406,-0.22286686515496187,S,L
2020-02-19,80.905,93983960,80.0,81.1425,80.0,73.60267857142857,38.1595370475434,84.69287118935728,62.51248595349986,74.52580820694823,71.3627812313729,3.1630269755753204,-0.20482002349523928,S,S
2020-02-18,79.75,152762200,78.84,79.9375,78.6525,74.54607142857142,40.38184438040346,85.564386716148,63.52775614099485,75.32953002126388,71.98405669571565,3.3454733255482267,-0.12014855848956946,S,L
2020-02-14,81.2375,80113800,81.185,81.495,80.7125,75.1875,38.87602999722248,85.49256445178241,64.88243554821759,76.23844847953097,72.66949694047746,3.568951539053515,-0.13994106570490225,S,S
2020-02-13,81.2175,94747560,81.0475,81.555,80.8375,75.75803571428571,38.44566052227343,86.50939061972704,65.00668080884438,77.00445640575698,73.30268235229394,3.7017740534630406,-0.13546142846949505,S,L
2020-02-12,81.8,113730280,80.3675,81.805,80.3675,76.19482142857143,37.55042929554154,86.01287262066911,66.37677023647375,77.74223234333283,73.93211328916107,3.810119054171764,-0.14850551226971717,S,S
2020-02-11,79.9025,94323120,80.9,80.975,79.6775,76.73571428571428,38.71793504346436,86.40391887602595,67.0675096954026,78.07458121358931,74.3743641566306,3.7002170569587065,-0.1159649745422714,S,L
2020-02-10,80.3875,109348880,78.545,80.3875,78.4625,77.14178571428572,37.72983005626124,86.87892112399247,67.40465030457896,78.43041487303711,74.81978162650982,3.6106332465272857,-0.14285461519218906,S,S
2020-02-07,80.0075,117684040,80.5925,80.85,79.5,77.97517857142857,43.81061422413793,86.86040233057624,69.08995481228091,78.67304335410832,75.20405706158316,3.468986292525159,0.025604759715443924,L,L
2020-02-06,81.3025,105425560,80.6425,81.305,80.0662,78.89821428571429,44.202624274539495,87.81424557108451,69.98218300034407,79.07757514578397,75.65579357553997,3.4217815702439935,0.04608088269830187,L,S
